Predio;I.D. Faena;Nå¡ Orden;Cultivo;Variedad;Fecha;E. Fenologico;Codigo Producto;Nombre Producto;Ing Activo;Nå¡ AutorizaciÌ?n SAG;Tratamiento;Cantidad;U. Med.;Moja. Lts x Ha;Tipo Dosis;Dosis;Ha. Aplica;T.Cantidad Ha. Aplica;R.Aplica Calculado;Real Aplicado;Cobertura;Nå¡ Aplica Periodo.;Nå¼ aplica etiqueta;Clasifica;Cod Cuartel;Cuartel / Potrero;Total Ha.;Fecha Inicio Aplica;Hr. Inicio;Fecha Term. Aplica;Hr. TÌ©rmino;Hr. Reingre;Carencia;Dias Carencias PPPL;Plazo Seguridad;ConcentraciÌ?n;Adjunto Productos;Estado;Faena;Labor;Clima;Viento;Temp.;Responsable (Aplicaciones);Dosificador (Aplicaciones);Verificador TÌ©cnico (Aplicaciones);Aplicador;Aplicador 2;Observaciones;Usuario Login;Total Producto;Maquinarias;Total Maqui;Maq Cod/GPS;Tot.Maq c/GPS;Tot Orden Aplica;Cantidad Periodo;tipo;has totales;unidades n;unidades p;unidades k;monto en usd
Camino Truncado, Puente Alto y La Chimbera;69.93;;;Flame;17/11/2025;;p-169;Nutri 050 V;;;;190,069;Litros;0,000;Hectareas;51,370;;;0,00;0,00;Total;1;0;La Chimbera;15;15;3,70;15/11/2025;08:00:00;15/11/2025;18:00:00;0;0;0;16/11/2025;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;;$ 0,1;;0;;0;2;380,138;Real;;;;;
Camino Truncado, Puente Alto y La Chimbera;69.931;;;Flame;17/11/2025;;p-144;Nutri 1075M;;;;117,656;Litros;0,000;Hectareas;53,480;;;0,00;0,00;Total;1;0;La Chimbera;17;17;2,20;15/11/2025;08:00:00;15/11/2025;18:00:00;0;0;0;16/11/2025;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;;$ 0,1;;0;;0;5;1.530,497;Real;;;;;
Camino Truncado, Puente Alto y La Chimbera;69.931;;;Flame;17/11/2025;;p-169;Nutri 050 V;;;;113,014;Litros;0,000;Hectareas;51,370;;;0,00;0,00;Total;1;0;La Chimbera;17;17;2,20;15/11/2025;08:00:00;15/11/2025;18:00:00;0;0;0;16/11/2025;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;;$ 0,1;;0;;0;2;226,028;Real;;;;;
Camino Truncado, Puente Alto y La Chimbera;69.932;;;Flame;17/11/2025;;p-144;Nutri 1075M;;;;117,656;Litros;0,000;Hectareas;53,480;;;0,00;0,00;Total;1;0;La Chimbera;19;19;2,20;15/11/2025;08:00:00;15/11/2025;18:00:00;0;0;0;16/11/2025;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;;$ 0,1;;0;;0;5;1.530,497;Real;;;;;
Camino Truncado, Puente Alto y La Chimbera;69.932;;;Flame;17/11/2025;;p-169;Nutri 050 V;;;;113,014;Litros;0,000;Hectareas;51,370;;;0,00;0,00;Total;1;0;La Chimbera;19;19;2,20;15/11/2025;08:00:00;15/11/2025;18:00:00;0;0;0;16/11/2025;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;;$ 0,1;;0;;0;2;226,028;Real;;;;;
Camino Truncado, Puente Alto y La Chimbera;69.933;;;Arizul;17/11/2025;;p-144;Nutri 1075M;;;;149,744;Litros;0,000;Hectareas;53,480;;;0,00;0,00;Total;1;0;La Chimbera;25;25;2,80;15/11/2025;08:00:00;15/11/2025;18:00:00;0;0;0;16/11/2025;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;;$ 0,1;;0;;0;5;1.947,905;Real;;;;;
Camino Truncado, Puente Alto y La Chimbera;69.933;;;Arizul;17/11/2025;;p-169;Nutri 050 V;;;;143,836;Litros;0,000;Hectareas;51,370;;;0,00;0,00;Total;1;0;La Chimbera;25;25;2,80;15/11/2025;08:00:00;15/11/2025;18:00:00;0;0;0;16/11/2025;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;;$ 0,1;;0;;0;2;287,672;Real;;;;;
Camino Truncado, Puente Alto y La Chimbera;69.934;;;Flame;17/11/2025;;p-169;Nutri 050 V;;;;259,336;Litros;0,000;Hectareas;58,940;;;0,00;0,00;Total;1;0;La Chimbera;16;16;4,40;15/10/2025;23:00:00;16/11/2025;08:00:00;0;0;0;17/11/2025;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;;$ 0,2;;0;;0;1;259,336;Real;;;;;
Camino Truncado, Puente Alto y La Chimbera;69.934;;;Flame;17/11/2025;;p-144;Nutri 1075M;;;;269,984;Litros;0,000;Hectareas;61,360;;;0,00;0,00;Total;1;0;La Chimbera;16;16;4,40;15/10/2025;23:00:00;16/11/2025;08:00:00;0;0;0;17/11/2025;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;;$ 0,2;;0;;0;4;2.701,556;Real;;;;;
Camino Truncado, Puente Alto y La Chimbera;69.935;;;Flame;17/11/2025;;p-169;Nutri 050 V;;;;129,668;Litros;0,000;Hectareas;58,940;;;0,00;0,00;Total;1;0;La Chimbera;21;21;2,20;15/10/2025;23:00:00;16/11/2025;08:00:00;0;0;0;17/11/2025;;;Confirmada;APLICACIONES;FERTILIZACION;;;0;;;;;;;;$ 0,1;;0;;0;1;129,668;Real;;;;;
