Predio;I.D. Faena;N� Orden;Cultivo;Variedad;Fecha;E. Fenologico;Codigo Producto;Nombre Producto;Ing Activo;N� Autorizaci�?n SAG;Tratamiento;Cantidad;U. Med.;Moja. Lts x Ha;Tipo Dosis;Dosis;Ha. Aplica;T.Cantidad Ha. Aplica;R.Aplica Calculado;Real Aplicado;Cobertura;N� Aplica Periodo.;N� aplica etiqueta;Clasifica;Cod Cuartel;Cuartel / Potrero;Total Ha.;Fecha Inicio Aplica;Hr. Inicio;Fecha Term. Aplica;Hr. T̩rmino;Hr. Reingre;Carencia;Dias Carencias PPPL;Plazo Seguridad;Concentraci�?n;Adjunto Productos;Estado;Faena;Labor;Clima;Viento;Temp.;Responsable (Aplicaciones);Dosificador (Aplicaciones);Verificador T̩cnico (Aplicaciones);Aplicador;Aplicador 2;Observaciones;Usuario Login;Total Producto;Maquinarias;Total Maqui;Maq Cod/GPS;Tot.Maq c/GPS;Tot Orden Aplica;Cantidad Periodo;tipo;has totales;unidades n;unidades p;unidades k;monto en usd
El espejo;46.757;46757;Uva;Fiesta;17/10/2024;Flor;p-113;ADHERENTE;;;;0,300;Litros;0,000;x 100Lts;0,300;4,90;1,47;0,00;1.225,00;Total;2;0;EEII;EEII 2;16;4,90;17/10/2024;06:00:00;17/10/2024;;0;0;0;18/10/2024;;;Confirmada;APLICACIONES;AF - BROTE 20;;;0;;ACIAR  PABLO EVARISTO;;;;;natalia;$ 0,0;;0;;0;2;0,600;Real;;;;;
El espejo;46.756;46756;Uva;Fiesta;17/10/2024;Flor;p-109;ACIDO-FOSFORICO;;;;0,300;Litros;0,000;x 100Lts;0,300;3,44;1,03;0,00;860,00;Total;2;0;EEII;EEII 2;15;3,44;17/10/2024;06:00:00;17/10/2024;;0;0;0;18/10/2024;;;Confirmada;APLICACIONES;AF - BROTE 20;;;0;;ACIAR  PABLO EVARISTO;;;;;natalia;$ 0,0;;0;;0;2;0,600;Real;;;;;
El espejo;46.756;46756;Uva;Fiesta;17/10/2024;Flor;p-111;SULFATO DE ZINC;;;;3,000;Kilos;0,000;x 100Lts;3,000;3,44;10,32;0,00;860,00;Total;2;0;EEII;EEII 2;15;3,44;17/10/2024;06:00:00;17/10/2024;;0;0;0;18/10/2024;;;Confirmada;APLICACIONES;AF - BROTE 20;;;0;;ACIAR  PABLO EVARISTO;;;;;natalia;$ 0,0;;0;;0;2;6,000;Real;;;;;
El espejo;46.756;46756;Uva;Fiesta;17/10/2024;Flor;p-110;SULFATO DE MAGNESIO X 25 K MANUCHARD ;;;;3,000;Kilos;0,000;x 100Lts;3,000;3,44;10,32;0,00;860,00;Total;2;0;EEII;EEII 2;15;3,44;17/10/2024;06:00:00;17/10/2024;;0;0;0;18/10/2024;;;Confirmada;APLICACIONES;AF - BROTE 20;;;0;;ACIAR  PABLO EVARISTO;;;;;natalia;$ 0,0;;0;;0;2;6,000;Real;;;;;
El espejo;46.756;46756;Uva;Fiesta;17/10/2024;Flor;p-108;NITRATO DE CALCIO;;;;3,000;Kilos;0,000;x 100Lts;3,000;3,44;10,32;0,00;860,00;Total;2;0;EEII;EEII 2;15;3,44;17/10/2024;06:00:00;17/10/2024;;0;0;0;18/10/2024;;;Confirmada;APLICACIONES;AF - BROTE 20;;;0;;ACIAR  PABLO EVARISTO;;;;;natalia;$ 0,0;;0;;0;2;6,000;Real;;;;;
El espejo;46.756;46756;Uva;Fiesta;17/10/2024;Flor;p-117;OPONENTE;;;;0,600;Litros;0,000;x 100Lts;0,600;3,44;2,06;0,00;860,00;Total;2;0;EEII;EEII 2;15;3,44;17/10/2024;06:00:00;17/10/2024;;0;0;0;18/10/2024;;;Confirmada;APLICACIONES;AF - BROTE 20;;;0;;ACIAR  PABLO EVARISTO;;;;;natalia;$ 0,0;;0;;0;2;1,200;Real;;;;;
El espejo;46.756;46756;Uva;Fiesta;17/10/2024;Flor;p-114;TACOMA TEBUCONAZALE 43% X 5 L;;;;0,600;Litros;0,000;x 100Lts;0,600;3,44;2,06;0,00;860,00;Total;2;0;EEII;EEII 2;15;3,44;17/10/2024;06:00:00;17/10/2024;;0;0;0;18/10/2024;;;Confirmada;APLICACIONES;AF - BROTE 20;;;0;;ACIAR  PABLO EVARISTO;;;;;natalia;$ 0,0;;0;;0;2;1,200;Real;;;;;
El espejo;46.756;46756;Uva;Fiesta;17/10/2024;Flor;p-113;ADHERENTE;;;;0,300;Litros;0,000;x 100Lts;0,300;3,44;1,03;0,00;860,00;Total;2;0;EEII;EEII 2;15;3,44;17/10/2024;06:00:00;17/10/2024;;0;0;0;18/10/2024;;;Confirmada;APLICACIONES;AF - BROTE 20;;;0;;ACIAR  PABLO EVARISTO;;;;;natalia;$ 0,0;;0;;0;2;0,600;Real;;;;;
El espejo;46.755;46755;Uva;Fiesta;17/10/2024;;p-109;ACIDO-FOSFORICO;;;;0,300;Litros;0,000;x 100Lts;0,300;2,12;0,63;0,00;530,00;Total;2;0;EEII;EEII 2;18;2,12;17/10/2024;06:00:00;17/10/2024;;0;0;0;18/10/2024;;;Confirmada;APLICACIONES;AF - BROTE 20;;;0;;ACIAR  PABLO EVARISTO;;;;;natalia;$ 0,0;;0;;0;2;0,600;Real;;;;;
El espejo;46.755;46755;Uva;Fiesta;17/10/2024;;p-111;SULFATO DE ZINC;;;;3,000;Kilos;0,000;x 100Lts;3,000;2,12;6,36;0,00;530,00;Total;2;0;EEII;EEII 2;18;2,12;17/10/2024;06:00:00;17/10/2024;;0;0;0;18/10/2024;;;Confirmada;APLICACIONES;AF - BROTE 20;;;0;;ACIAR  PABLO EVARISTO;;;;;natalia;$ 0,0;;0;;0;2;6,000;Real;;;;;
