I.D. Faena;N° Orden;Fecha;Clasifica;Código;Cuartel/Potrero;Cultivo;Variedad;Faena;Labor;Total Faena;Realizada;Total Jornadas;Trabajador;Usuario Login;Usuario;Est.Fenologico;Forma Pago;Estado Faena
80.587;80587;8/3/2026;Puente Alto;4;4 - Ha:4.440, Pl:7056;Uva;Flame;APLICACIONES;FERTILIZACION;$ 0,0;;0,00;;marcelow;javier;Cosecha/Postcosecha;Día Lab.;Confirmada
80.586;80586;8/3/2026;Puente Alto;3;3 - Ha:5.110, Pl:8512;Uva;Flame;APLICACIONES;FERTILIZACION;$ 0,0;;0,00;;marcelow;javier;Cosecha/Postcosecha;Día Lab.;Confirmada
80.585;1542;7/3/2026;Camino Truncado;57;57 - Ha:0.800, Pl:1391;Uva;Flame;APLICACIONES;FERTILIZACION;$ 1.500,0;;0,08;;marcelow;;Envero/Cosecha;Día Lab.;Confirmada
80.584;1542;7/3/2026;Camino Truncado;56;56 - Ha:1.800, Pl:3009;Uva;Flame;APLICACIONES;FERTILIZACION;$ 3.375,0;;0,18;;marcelow;;Envero/Cosecha;Día Lab.;Confirmada
80.583;1542;7/3/2026;Camino Truncado;51;51 - Ha:3.000, Pl:4182;Uva;Sultanina;APLICACIONES;FERTILIZACION;$ 5.906,2;;0,32;;marcelow;;Envero/Cosecha;Día Lab.;Confirmada
80.582;1542;7/3/2026;Camino Truncado;23;23 - Ha:1.400, Pl:2412;Uva;Flame;APLICACIONES;FERTILIZACION;$ 2.625,0;;0,14;;marcelow;;Envero/Cosecha;Día Lab.;Confirmada
80.581;1542;7/3/2026;Camino Truncado;21;21 - Ha:2.600, Pl:4396;Uva;Flame;APLICACIONES;FERTILIZACION;$ 4.875,0;;0,26;;marcelow;;Envero/Cosecha;Día Lab.;Confirmada
80.58;1542;7/3/2026;Camino Truncado;20;20 - Ha:1.500, Pl:2449;Uva;Flame;APLICACIONES;FERTILIZACION;$ 2.812,5;;0,15;;marcelow;;Envero/Cosecha;Día Lab.;Confirmada
80.525;1533;7/3/2026;Puente Alto;6;6 - Ha:3.500, Pl:6481;Uva;Arizul;APLICACIONES;FERTILIZACION;$ 0,0;;1,00;;marcelow;javier;Cosecha/Postcosecha;Día Lab.;Confirmada
80.524;1533;7/3/2026;Puente Alto;5;5 - Ha:2.320, Pl:4794;Uva;Arizul;APLICACIONES;FERTILIZACION;$ 0,0;;1,00;;marcelow;javier;Cosecha/Postcosecha;Día Lab.;Confirmada
80.52;80520;7/3/2026;Puente Alto;2;2 - Ha:5.130, Pl:8556;Uva;Flame;APLICACIONES;FERTILIZACION;$ 0,0;;0,00;;marcelow;javier;Cosecha/Postcosecha;Día Lab.;Confirmada
80.177;;7/3/2026;La Chimbera;23;23 - Ha:2.800, Pl:4544;;Fiesta;APLICACIONES;FERTILIZACION;$ 7.699,4;;0,64;;;juanpablo;;Día Lab.;Confirmada
80.176;;7/3/2026;La Chimbera;22;22 - Ha:2.600, Pl:4205;;Fiesta;APLICACIONES;FERTILIZACION;$ 7.125,6;;0,60;;;juanpablo;;Día Lab.;Confirmada
80.175;;7/3/2026;La Chimbera;20;20 - Ha:4.400, Pl:7040;;Fiesta;APLICACIONES;FERTILIZACION;$ 12.075,2;;1,02;;;juanpablo;;Día Lab.;Confirmada
80.174;;7/3/2026;La Chimbera;27;27 - Ha:2.900, Pl:4576;;Arizul;APLICACIONES;FERTILIZACION;$ 7.723,3;;0,64;;;juanpablo;;Día Lab.;Confirmada
80.173;;7/3/2026;La Chimbera;24;24 - Ha:2.800, Pl:4536;;Arizul;APLICACIONES;FERTILIZACION;$ 7.460,3;;0,62;;;juanpablo;;Día Lab.;Confirmada
80.172;;7/3/2026;La Chimbera;18;18 - Ha:4.400, Pl:7040;;Flame;APLICACIONES;FERTILIZACION;$ 11.716,6;;0,98;;;juanpablo;;Día Lab.;Confirmada
80.171;;7/3/2026;La Chimbera;26;26 - Ha:2.900, Pl:4608;;Arizul;APLICACIONES;FERTILIZACION;$ 8.201,6;;0,68;;;juanpablo;;Día Lab.;Confirmada
80.17;;7/3/2026;La Chimbera;21;21 - Ha:2.200, Pl:3584;;Flame;APLICACIONES;FERTILIZACION;$ 6.240,8;;0,52;;;juanpablo;;Día Lab.;Confirmada
