Finca;Predio;Cuartel;Variedad;Has;Año;Ciclo;Kg;Estado;Referencia
Camino Truncado, Puente Alto y La Chimbera;La Chimbera;24;Arizul;2,84;2014;2013-2014;7.060;Uva;La Chimbera 24 2014
Camino Truncado, Puente Alto y La Chimbera;La Chimbera;24;Arizul;2,84;2015;2014-2015;32.670;Uva;La Chimbera 24 2015
Camino Truncado, Puente Alto y La Chimbera;La Chimbera;24;Arizul;2,84;2016;2015-2016;32.425;Uva;La Chimbera 24 2016
Camino Truncado, Puente Alto y La Chimbera;La Chimbera;24;Arizul;2,84;2017;2016-2017;25.861;Uva;La Chimbera 24 2017
Camino Truncado, Puente Alto y La Chimbera;La Chimbera;24;Arizul;2,84;2018;2017-2018;22.585;Uva;La Chimbera 24 2018
Camino Truncado, Puente Alto y La Chimbera;La Chimbera;24;Arizul;2,84;2019;2018-2019;72.662;Uva;La Chimbera 24 2019
Camino Truncado, Puente Alto y La Chimbera;La Chimbera;24;Arizul;2,84;2020;2019-2020;78.700;Uva;La Chimbera 24 2020
Camino Truncado, Puente Alto y La Chimbera;La Chimbera;24;Arizul;2,84;2021;2020-2021;74.312;Uva;La Chimbera 24 2021
Camino Truncado, Puente Alto y La Chimbera;La Chimbera;24;Arizul;2,84;2022;2021-2022;26.536;Uva;La Chimbera 24 2022
Camino Truncado, Puente Alto y La Chimbera;La Chimbera;24;Arizul;2,84;2023;2022-2023;87.948;Uva;La Chimbera 24 2023
Camino Truncado, Puente Alto y La Chimbera;La Chimbera;24;Arizul;2,84;2024;2023-2024;140.933;Uva;La Chimbera 24 2024
Camino Truncado, Puente Alto y La Chimbera;La Chimbera;17;Flame;2,24;2025;2024-2025;28.027;Pasa;La Chimbera 17 2025
Camino Truncado, Puente Alto y La Chimbera;La Chimbera;25;Arizul;2,84;2013;2012-2013;4.997;Uva;La Chimbera 25 2013
Camino Truncado, Puente Alto y La Chimbera;La Chimbera;25;Arizul;2,84;2014;2013-2014;13.392;Uva;La Chimbera 25 2014
Camino Truncado, Puente Alto y La Chimbera;La Chimbera;25;Arizul;2,84;2015;2014-2015;41.006;Uva;La Chimbera 25 2015
Camino Truncado, Puente Alto y La Chimbera;La Chimbera;25;Arizul;2,84;2016;2015-2016;36.430;Uva;La Chimbera 25 2016
Camino Truncado, Puente Alto y La Chimbera;La Chimbera;25;Arizul;2,84;2017;2016-2017;36.235;Uva;La Chimbera 25 2017
Camino Truncado, Puente Alto y La Chimbera;La Chimbera;25;Arizul;2,84;2018;2017-2018;31.642;Uva;La Chimbera 25 2018
Camino Truncado, Puente Alto y La Chimbera;La Chimbera;25;Arizul;2,84;2019;2018-2019;96.741;Uva;La Chimbera 25 2019
Camino Truncado, Puente Alto y La Chimbera;La Chimbera;25;Arizul;2,84;2020;2019-2020;40.377;Uva;La Chimbera 25 2020
Camino Truncado, Puente Alto y La Chimbera;La Chimbera;25;Arizul;2,84;2021;2020-2021;89.366;Uva;La Chimbera 25 2021
Camino Truncado, Puente Alto y La Chimbera;La Chimbera;25;Arizul;2,84;2022;2021-2022;30.010;Uva;La Chimbera 25 2022
Camino Truncado, Puente Alto y La Chimbera;La Chimbera;25;Arizul;2,84;2023;2022-2023;70.210;Uva;La Chimbera 25 2023
Camino Truncado, Puente Alto y La Chimbera;La Chimbera;25;Arizul;2,84;2024;2023-2024;129.300;Uva;La Chimbera 25 2024
Camino Truncado, Puente Alto y La Chimbera;La Chimbera;18;Flame;4,4;2025;2024-2025;199.665;Uva;La Chimbera 18 2025
Camino Truncado, Puente Alto y La Chimbera;La Chimbera;17;Flame;2,24;2013;2012-2013;530;Uva;La Chimbera 17 2013
Camino Truncado, Puente Alto y La Chimbera;La Chimbera;17;Flame;2,24;2014;2013-2014;4.845;Uva;La Chimbera 17 2014
Camino Truncado, Puente Alto y La Chimbera;La Chimbera;17;Flame;2,24;2015;2014-2015;31.334;Uva;La Chimbera 17 2015
Camino Truncado, Puente Alto y La Chimbera;La Chimbera;17;Flame;2,24;2016;2015-2016;50.930;Uva;La Chimbera 17 2016
Camino Truncado, Puente Alto y La Chimbera;La Chimbera;17;Flame;2,24;2017;2016-2017;26.719;Uva;La Chimbera 17 2017
Camino Truncado, Puente Alto y La Chimbera;La Chimbera;17;Flame;2,24;2018;2017-2018;33.155;Uva;La Chimbera 17 2018
Camino Truncado, Puente Alto y La Chimbera;La Chimbera;17;Flame;2,24;2019;2018-2019;44.625;Uva;La Chimbera 17 2019
Camino Truncado, Puente Alto y La Chimbera;La Chimbera;17;Flame;2,24;2020;2019-2020;70.395;Uva;La Chimbera 17 2020
Camino Truncado, Puente Alto y La Chimbera;La Chimbera;17;Flame;2,24;2021;2020-2021;143.878;Uva;La Chimbera 17 2021
Camino Truncado, Puente Alto y La Chimbera;La Chimbera;17;Flame;2,24;2022;2021-2022;40.830;Uva;La Chimbera 17 2022
Camino Truncado, Puente Alto y La Chimbera;La Chimbera;17;Flame;2,24;2023;2022-2023;96.056;Uva;La Chimbera 17 2023
Camino Truncado, Puente Alto y La Chimbera;La Chimbera;17;Flame;2,24;2024;2023-2024;104.460;Uva;La Chimbera 17 2024
Camino Truncado, Puente Alto y La Chimbera;La Chimbera;18;Flame;4,4;2025;2024-2025;40.724;Pasa;La Chimbera 18 2025
Camino Truncado, Puente Alto y La Chimbera;La Chimbera;19;Flame;2,24;2013;2012-2013;3.572;Uva;La Chimbera 19 2013
Camino Truncado, Puente Alto y La Chimbera;La Chimbera;19;Flame;2,24;2014;2013-2014;3.440;Uva;La Chimbera 19 2014
Camino Truncado, Puente Alto y La Chimbera;La Chimbera;19;Flame;2,24;2015;2014-2015;22.146;Uva;La Chimbera 19 2015
Camino Truncado, Puente Alto y La Chimbera;La Chimbera;19;Flame;2,24;2016;2015-2016;38.690;Uva;La Chimbera 19 2016
Camino Truncado, Puente Alto y La Chimbera;La Chimbera;19;Flame;2,24;2017;2016-2017;23.247;Uva;La Chimbera 19 2017
Camino Truncado, Puente Alto y La Chimbera;La Chimbera;19;Flame;2,24;2018;2017-2018;30.717;Uva;La Chimbera 19 2018
Camino Truncado, Puente Alto y La Chimbera;La Chimbera;19;Flame;2,24;2019;2018-2019;32.671;Uva;La Chimbera 19 2019
Camino Truncado, Puente Alto y La Chimbera;La Chimbera;19;Flame;2,24;2020;2019-2020;99.641;Uva;La Chimbera 19 2020
Camino Truncado, Puente Alto y La Chimbera;La Chimbera;19;Flame;2,24;2021;2020-2021;130.177;Uva;La Chimbera 19 2021
Camino Truncado, Puente Alto y La Chimbera;La Chimbera;19;Flame;2,24;2022;2021-2022;68.390;Uva;La Chimbera 19 2022
Camino Truncado, Puente Alto y La Chimbera;La Chimbera;19;Flame;2,24;2023;2022-2023;82.867;Uva;La Chimbera 19 2023
Camino Truncado, Puente Alto y La Chimbera;La Chimbera;19;Flame;2,24;2024;2023-2024;127.640;Uva;La Chimbera 19 2024
Camino Truncado, Puente Alto y La Chimbera;La Chimbera;19;Flame;2,24;2025;2024-2025;106.600;Uva;La Chimbera 19 2025
Camino Truncado, Puente Alto y La Chimbera;La Chimbera;21;Flame;2,24;2014;2013-2014;840;Uva;La Chimbera 21 2014
Camino Truncado, Puente Alto y La Chimbera;La Chimbera;21;Flame;2,24;2015;2014-2015;24.852;Uva;La Chimbera 21 2015
Camino Truncado, Puente Alto y La Chimbera;La Chimbera;21;Flame;2,24;2016;2015-2016;32.339;Uva;La Chimbera 21 2016
Camino Truncado, Puente Alto y La Chimbera;La Chimbera;21;Flame;2,24;2017;2016-2017;16.607;Uva;La Chimbera 21 2017
Camino Truncado, Puente Alto y La Chimbera;La Chimbera;21;Flame;2,24;2018;2017-2018;55.486;Uva;La Chimbera 21 2018
Camino Truncado, Puente Alto y La Chimbera;La Chimbera;21;Flame;2,24;2019;2018-2019;33.200;Uva;La Chimbera 21 2019
Camino Truncado, Puente Alto y La Chimbera;La Chimbera;21;Flame;2,24;2020;2019-2020;96.153;Uva;La Chimbera 21 2020
Camino Truncado, Puente Alto y La Chimbera;La Chimbera;21;Flame;2,24;2021;2020-2021;138.933;Uva;La Chimbera 21 2021
Camino Truncado, Puente Alto y La Chimbera;La Chimbera;21;Flame;2,24;2022;2021-2022;57.765;Uva;La Chimbera 21 2022
Camino Truncado, Puente Alto y La Chimbera;La Chimbera;21;Flame;2,24;2023;2022-2023;103.221;Uva;La Chimbera 21 2023
Camino Truncado, Puente Alto y La Chimbera;La Chimbera;21;Flame;2,24;2024;2023-2024;139.200;Uva;La Chimbera 21 2024
Camino Truncado, Puente Alto y La Chimbera;La Chimbera;19;Flame;2,24;2025;2024-2025;27.845;Pasa;La Chimbera 19 2025
Camino Truncado, Puente Alto y La Chimbera;Puente Alto;2;Flame;4,75;2014;2013-2014;7.194;Uva;Puente Alto 2 2014
Camino Truncado, Puente Alto y La Chimbera;Puente Alto;2;Flame;4,75;2015;2014-2015;4.080;Uva;Puente Alto 2 2015
Camino Truncado, Puente Alto y La Chimbera;Puente Alto;2;Flame;4,75;2016;2015-2016;8.340;Uva;Puente Alto 2 2016
Camino Truncado, Puente Alto y La Chimbera;Puente Alto;2;Flame;4,75;2017;2016-2017;7.321;Uva;Puente Alto 2 2017
Camino Truncado, Puente Alto y La Chimbera;Puente Alto;2;Flame;5,13;2018;2017-2018;198.421;Uva;Puente Alto 2 2018
Camino Truncado, Puente Alto y La Chimbera;Puente Alto;2;Flame;5,13;2019;2018-2019;75.375;Uva;Puente Alto 2 2019
Camino Truncado, Puente Alto y La Chimbera;Puente Alto;2;Flame;4,75;2020;2019-2020;4.350;Uva;Puente Alto 2 2020
Camino Truncado, Puente Alto y La Chimbera;Puente Alto;2;Flame;4,75;2021;2020-2021;7.927;Uva;Puente Alto 2 2021
Camino Truncado, Puente Alto y La Chimbera;Puente Alto;2;Flame;4,75;2022;2021-2022;8.691;Uva;Puente Alto 2 2022
