FINCA;ITEMS;UNIFICACION;USD;Año;Has;Valor inicial;Fincas;% de mod;USD Final
03 - PUENTE ALTO;PERSONAL FINCA;Contratados;30361;2026;26,18;;Fincas Viejas;;30361
03 - PUENTE ALTO;PERSONAL FINCA;Dirección Técnica;2797;2026;26,18;;Fincas Viejas;;2797
03 - PUENTE ALTO;PERSONAL FINCA;Encargados;5615;2026;26,18;;Fincas Viejas;;5615
03 - PUENTE ALTO;PERSONAL FINCA;Permanentes;14096;2026;26,18;;Fincas Viejas;;14096
03 - PUENTE ALTO;SECADO;Combustible Secado;466;2026;26,18;;Fincas Viejas;;466
03 - PUENTE ALTO;SECADO;Jornales Secado;414;2026;26,18;;Fincas Viejas;;414
04 - EL ESPEJO;ADMINISTRACION;Administración Rosario;59589;2026;55,89;;El Espejo;;59589
04 - EL ESPEJO;ADMINISTRACION;Administración San Juan;28900;2026;55,89;;El Espejo;;28900
04 - EL ESPEJO;COMBUSTIBLE Y MANTENIMIENTO;Bins;2526;2026;55,89;;El Espejo;;2526
04 - EL ESPEJO;COMBUSTIBLE Y MANTENIMIENTO;Combustible y Lubricantes;7176;2026;55,89;;El Espejo;;7176
04 - EL ESPEJO;COMBUSTIBLE Y MANTENIMIENTO;Fletes Varios;3300;2026;55,89;;El Espejo;;3300
04 - EL ESPEJO;COMBUSTIBLE Y MANTENIMIENTO;Insumos menores;13282;2026;55,89;;El Espejo;;13282
04 - EL ESPEJO;COMBUSTIBLE Y MANTENIMIENTO;Reparaciones Repuestos;23394;2026;55,89;;El Espejo;;23394
04 - EL ESPEJO;COSECHA;Combustible Cosecha;897;2026;55,89;;El Espejo;;897
04 - EL ESPEJO;COSECHA;Cosecha;18232;2026;55,89;;El Espejo;;18232
04 - EL ESPEJO;COSECHA;Flete Cosecha;1342;2026;55,89;;El Espejo;;1342
04 - EL ESPEJO;ENERGIA FINCAS;Energia Fincas;80364;2026;55,89;;El Espejo;;80364
04 - EL ESPEJO;FERTILIZANTES;Inorgánicos;;2026;55,89;;El Espejo;;
04 - EL ESPEJO;FERTILIZANTES;tierra;625;2026;55,89;;El Espejo;;625
04 - EL ESPEJO;FITOSANITARIOS;Coadyuvantes;600;2026;55,89;;El Espejo;;600
04 - EL ESPEJO;FITOSANITARIOS;Foliares;20579;2026;55,89;;El Espejo;;20579
04 - EL ESPEJO;FITOSANITARIOS;Fungicidas;1221;2026;55,89;;El Espejo;;1221
04 - EL ESPEJO;FITOSANITARIOS;Herbicidas;1270;2026;55,89;;El Espejo;;1270
04 - EL ESPEJO;FITOSANITARIOS;Hormonas;3188;2026;55,89;;El Espejo;;3188
04 - EL ESPEJO;FITOSANITARIOS;Insecticidas;10622;2026;55,89;;El Espejo;;10622
04 - EL ESPEJO;INVERSIONES;Inversiones;176616;2026;55,89;;El Espejo;;176616
04 - EL ESPEJO;PERSONAL FINCA;Cargas Sociales;13423;2026;55,89;;El Espejo;;13423
04 - EL ESPEJO;PERSONAL FINCA;Contratados;186224;2026;55,89;;El Espejo;;186224
04 - EL ESPEJO;PERSONAL FINCA;Encargados;5271;2026;55,89;;El Espejo;;5271
04 - EL ESPEJO;PERSONAL FINCA;Permanentes;61528;2026;55,89;;El Espejo;;61528
04 - EL ESPEJO;SECADO;Combustible Secado;1065;2026;55,89;;El Espejo;;1065
